FEN,Evaluation
r1bq1b1r/p2pPppp/npp5/4p3/P3nP2/R7/1PP3PP/1NBQKBNR b KQkq - 0 1,1.0
rnb1Qbnr/pp2p1pp/2p2p2/q7/4p3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,1.0
r3Qb1r/pp2pppp/n4n2/8/6b1/2N5/PPP2PPP/R1B1KBNR b KQkq - 0 1,1.0
rnb1Nbnr/pp2p1pp/8/5p2/2p5/8/PPPQ1PPP/R1B1KBNR b KQkq - 0 1,1.0
Nnb2bnr/pp3ppp/3Qp3/2p5/8/8/PPP2PPP/R1B1KBNR b KQkq - 0 1,
1Nnb2bnr/pp3ppp/3Qp3/2p5/8/8/PPP2PPP/R1B1KBNR b KQkq - 0 1,
11rbqQbnr/ppp1pppp/8/8/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
r1bqkbnr/pppppppp/2n5/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqkbnr/pppppppp/2n5/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
1rbqkbnr/pppppppp/2n1P3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
r1bqkbnr/pppppppp/2n1P3/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
r1bqkbnr/pppPpppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqkbnr/pppPpppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/4p3/8/1b1PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/4p3/8/1b1PP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/4p3/8/3PP3/2b5/PP3PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/4p3/8/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 1,1.0
rnb1k1nr/ppppqppp/4p3/8/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 1,-1.0
rnb1k1nr/ppppqppp/4p3/8/3PP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/8/3PP3/P1N2N2/1P3PPP/R1BQKB1R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/8/3PP3/P1N2N2/1P3PPP/R1BQKB1R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/n3p3/8/1P1PP3/P1N2N2/5PPP/R1BQKB1R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/8/1P1PP3/P1N2N2/5PPP/R1BQKB1R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/8/1P1PP3/P1NB1N2/5PPP/R1BQK2R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/8/1P1PP3/P1NB1N2/5PPP/R1BQK2R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/n3p3/1P6/3PP3/P1NB1N2/5PPP/R1BQK2R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/1P6/3PP3/P1NB1N2/5PPP/R1BQK2R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/1P6/Q2PP3/P1NB1N2/5PPP/R1B1K2R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/1P6/Q2PP3/P1NB1N2/5PPP/R1B1K2R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/P3p3/8/Q2PP3/P1NB1N2/5PPP/R1B1K2R w KQkq - 0 1,1.0
1rb1k2r/ppppqppp/P3p2n/8/Q2PP3/P1NB1N2/5PPP/R1B1K2R b KQkq - 0 1,-1.0
1rb1k2r/ppppqppp/P3p2n/8/Q2PPB2/P1NB1N2/5PPP/R3K2R w KQkq - 0 1,1.0
r1b1k2r/ppppqppp/P3p2n/8/Q2PPB2/P1NB1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
r1b1k2r/ppppqppp/P3p2n/1N6/Q2PPB2/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
r1b1k2r/pppp1ppp/P3p2n/1N6/Qq1PPB2/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
r1b1k2r/pppp1ppp/P3p2n/1N6/1Q1PPB2/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
1rb1k2r/pppp1ppp/P3p2n/1N6/1Q1PPB2/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
1rb1k2r/ppNp1ppp/P3p2n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
1rbk3r/ppNp1ppp/P3p2n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
1rbk3r/pp1p1ppp/P3N2n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
1rb1k2r/pp1p1ppp/P3N2n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
1rb1k2r/pp1p1pNp/P6n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
1rbk3r/pp1p1pNp/P6n/8/1Q1PPB2/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
1rbk3r/pp1p1pNp/P6n/6B1/1Q1PP3/P2B1N2/5PPP/R3K2R w KQkq - 0 1,1.0
1rb4r/ppkp1pNp/P6n/6B1/1Q1PP3/P2B1N2/5PPP/R3K2R b KQkq - 0 1,-1.0
1rb4r/ppkp1pNp/P6n/6B1/1Q1PP3/P2B1N2/5PPP/2R1K2R w KQkq - 0 1,1.0
r1b4r/ppkp1pNp/P6n/6B1/1Q1PP3/P2B1N2/5PPP/2R1K2R b KQkq - 0 1,-1.0
r1b4r/ppRp1pNp/P6n/6B1/1Q1PP3/P2B1N2/5PPP/4K2R w KQkq - 0 1,1.0
rnb1kbnr/pppp1ppp/4p3/6q1/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnb1kbnr/pppp1ppp/4p3/6B1/3PP3/8/PPP2PPP/RN1QKBNR w KQkq - 0 1,1.0
rnb1k1nr/pppp1ppp/4p3/6B1/1b1PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 1,-1.0
rnb1k1nr/pppp1ppp/4p3/6B1/1b1PP3/8/PPPN1PPP/R2QKBNR w KQkq - 0 1,1.0
r1b1k1nr/pppp1ppp/2n1p3/6B1/1b1PP3/8/PPPN1PPP/R2QKBNR b KQkq - 0 1,-1.0
r1b1k1nr/pppp1ppp/2n1p3/6B1/1b1PP3/2P5/PP1N1PPP/R2QKBNR w KQkq - 0 1,1.0
r1b1k2r/ppppnppp/2n1p3/6B1/1b1PP3/2P5/PP1N1PPP/R2QKBNR b KQkq - 0 1,-1.0
r1b1k2r/ppppnppp/2n1p3/6B1/1P1PP3/8/PP1N1PPP/R2QKBNR w KQkq - 0 1,1.0
r1b1k2r/pp1pnppp/2n1p3/2p3B1/1P1PP3/8/PP1N1PPP/R2QKBNR b KQkq - 0 1,-1.0
r1b1k2r/pp1pnppp/2n1p3/2P3B1/3PP3/8/PP1N1PPP/R2QKBNR w KQkq - 0 1,1.0
r1b1k2r/pp1p1ppp/2n1p3/2Pn2B1/3PP3/8/PP1N1PPP/R2QKBNR b KQkq - 0 1,-1.0
r1b1k2r/pp1p1ppp/2n1p3/2PP2B1/3P4/8/PP1N1PPP/R2QKBNR w KQkq - 0 1,1.0
r1b1k2r/p2p1ppp/1pn1p3/2PP2B1/3P4/8/PP1N1PPP/R2QKBNR b KQkq - 0 1,-1.0
r1b1k2r/p2p1ppp/1pn1p3/2PP2B1/2NP4/8/PP3PPP/R2QKBNR w KQkq - 0 1,1.0
1rb1k2r/p2p1ppp/1pn1p3/2PP2B1/2NP4/8/PP3PPP/R2QKBNR b KQkq - 0 1,-1.0
1rb1k2r/p2p1ppp/1pnNp3/2PP2B1/3P4/8/PP3PPP/R2QKBNR w KQkq - 0 1,1.0
2b1k2r/pr1p1ppp/1pnNp3/2PP2B1/3P4/8/PP3PPP/R2QKBNR b KQkq - 0 1,-1.0
2b1N2r/pr1p1ppp/1pn1p3/2PP2B1/3P4/8/PP3PPP/R2QKBNR w KQkq - 0 1,1.0
rnbqkbnr/p1pppppp/8/1p6/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/p1pppppp/8/1B6/4P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 1,1.0
r1bqkbnr/p1pppppp/n7/1B6/4P3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 1,-1.0
r1bqkbnr/p1pppppp/n7/1B6/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 1,1.0
1rbqkbnr/p1pppppp/n7/1B6/4P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 0 1,-1.0
1rbqkbnr/p1pppppp/n7/1B6/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 1,1.0
2bqkbnr/p1pppppp/n7/1r6/3PP3/2N5/PPP2PPP/R1BQK1NR b KQkq - 0 1,-1.0
2bqkbnr/p1pppppp/n7/1N6/3PP3/8/PPP2PPP/R1BQK1NR w KQkq - 0 1,1.0
2bqkbnr/p1pppp1p/n7/1N4p1/3PP3/8/PPP2PPP/R1BQK1NR b KQkq - 0 1,-1.0
2bqkbnr/p1pppp1p/n7/1N4B1/3PP3/8/PPP2PPP/R2QK1NR w KQkq - 0 1,1.0
2bqk1nr/p1pppp1p/n6b/1N4B1/3PP3/8/PPP2PPP/R2QK1NR b KQkq - 0 1,-1.0
2bqk1nr/p1pppp1p/n6B/1N6/3PP3/8/PPP2PPP/R2QK1NR w KQkq - 0 1,1.0
2bqk2r/p1pppp1p/n6n/1N6/3PP3/8/PPP2PPP/R2QK1NR b KQkq - 0 1,-1.0
2bqk2r/p1pppp1p/n6n/1N6/3PP3/8/PPPQ1PPP/R3K1NR w KQkq - 0 1,1.0
2bqk1r1/p1pppp1p/n6n/1N6/3PP3/8/PPPQ1PPP/R3K1NR b KQkq - 0 1,-1.0
2bqk1r1/p1pppp1p/n6Q/1N6/3PP3/8/PPP2PPP/R3K1NR w KQkq - 0 1,1.0
2bqk3/p1pppp1p/n5rQ/1N6/3PP3/8/PPP2PPP/R3K1NR b KQkq - 0 1,-1.0
2bqk3/p1pppp1Q/n5r1/1N6/3PP3/8/PPP2PPP/R3K1NR w KQkq - 0 1,1.0
1nbqk3/p1pppp1Q/6r1/1N6/3PP3/8/PPP2PPP/R3K1NR b KQkq - 0 1,-1.0
1nbqk2Q/p1pppp2/6r1/1N6/3PP3/8/PPP2PPP/R3K1NR w KQkq - 0 1,1.0
1nbqk1rQ/p1pppp2/8/1N6/3PP3/8/PPP2PPP/R3K1NR b KQkq - 0 1,-1.0
1nbqk1Q1/p1pppp2/8/1N6/3PP3/8/PPP2PPP/R3K1NR w KQkq - 0 1,1.0
1nbq1kQ1/p1pppp2/8/1N6/3PP3/8/PPP2PPP/R3K1NR b KQkq - 0 1,-1.0
1nbq1Q2/p1pppp2/8/1N6/3PP3/8/PPP2PPP/R3K1NR w KQkq - 0 1,1.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 1,1.0
rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 1,-1.0
rnbqkbnr/ppp2ppp/8/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 1,1.0
r1bqkbnr/ppp2ppp/n7/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 1,-1.0
r1bqkbnr/ppp2ppp/n7/1B1Pp3/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 1,1.0
r1bqkbnr/pp3ppp/n1p5/1B1Pp3/8/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 1,-1.0
r1bqkbnr/pp3ppp/n1P5/1B2p3/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 1,1.0
r1b1kbnr/pp3ppp/n1P5/1B2p3/8/3q1N2/PPPP1PPP/RNBQK2R b KQkq - 0 1,-1.0
r1b1kbnr/pp3ppp/n1P5/1B2p3/8/3P1N2/PP1P1PPP/RNBQK2R w KQkq - 0 1,1.0
r3kbnr/pp3ppp/n1P1b3/1B2p3/8/3P1N2/PP1P1PPP/RNBQK2R b KQkq - 0 1,-1.0
r3kbnr/pp3ppp/n1P1b3/1B2N3/8/3P4/PP1P1PPP/RNBQK2R w KQkq - 0 1,1.0
r3kbnr/pp3ppp/n1P5/1B2N3/6b1/3P4/PP1P1PPP/RNBQK2R b KQkq - 0 1,-1.0
r3kbnr/pp3ppp/n1P5/1B6/6N1/3P4/PP1P1PPP/RNBQK2R w KQkq - 0 1,1.0
r3k1nr/pp3ppp/n1Pb4/1B6/6N1/3P4/PP1P1PPP/RNBQK2R b KQkq - 0 1,-1.0
r3k1nr/pp3ppp/n1Pb4/1B6/6N1/3P4/PP1PQPPP/RNB1K2R w KQkq - 0 1,1.0
r3k1nr/pp3ppp/n1P5/1B2b3/6N1/3P4/PP1PQPPP/RNB1K2R b KQkq - 0 1,-1.0
r3k1nr/pp3ppp/n1P5/1B2Q3/6N1/3P4/PP1P1PPP/RNB1K2R w KQkq - 0 1,1.0
1r2k1nr/pp3ppp/n1P5/1B2Q3/6N1/3P4/PP1P1PPP/RNB1K2R b KQkq - 0 1,-1.0
1r2Q1nr/pp3ppp/n1P5/1B6/6N1/3P4/PP1P1PPP/RNB1K2R w KQkq - 0 1,1.0
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
rnbqkbnr/ppp2ppp/8/3Pp3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/ppp2ppp/8/3Pp3/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1.0
rnbqkbnr/ppp3pp/8/3Ppp2/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/ppp3pp/8/3Ppp2/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 1,1.0
rnb1kbnr/ppp1q1pp/8/3Ppp2/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 1,-1.0
rnb1kbnr/ppp1q1pp/8/3PPp2/8/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 1,1.0
rn2kbnr/pppbq1pp/8/3PPp2/8/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 1,-1.0
rn2kbnr/pppbq1pp/8/3PPp2/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,1.0
r3kbnr/pppbq1pp/n7/3PPp2/8/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 1,-1.0
r3kbnr/pppbq1pp/n7/3PPpB1/8/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 1,1.0
r3kbnr/ppp1q1pp/n7/3PPpB1/b7/2N2N2/PPP2PPP/R2QKB1R b KQkq - 0 1,-1.0
r3kbnr/ppp1B1pp/n7/3PPp2/b7/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 1,1.0
r3k1nr/ppp1b1pp/n7/3PPp2/b7/2N2N2/PPP2PPP/R2QKB1R b KQkq - 0 1,-1.0
r3k1nr/ppp1b1pp/n7/3PPp2/N7/5N2/PPP2PPP/R2QKB1R w KQkq - 0 1,1.0
r3k2r/ppp1b1pp/n4n2/3PPp2/N7/5N2/PPP2PPP/R2QKB1R b KQkq - 0 1,-1.0
r3k2r/ppp1b1pp/B4n2/3PPp2/N7/5N2/PPP2PPP/R2QK2R w KQkq - 0 1,1.0
r3k2r/ppp1b1pp/B7/3PPp2/N5n1/5N2/PPP2PPP/R2QK2R b KQkq - 0 1,-1.0
r3k2r/pBp1b1pp/8/3PPp2/N5n1/5N2/PPP2PPP/R2QK2R w KQkq - 0 1,1.0
r3k2r/pBp3pp/8/3PPp2/Nb4n1/5N2/PPP2PPP/R2QK2R b KQkq - 0 1,-1.0
r3k2r/pBp3pp/8/3PPp2/Nb4n1/2P2N2/PP3PPP/R2QK2R w KQkq - 0 1,1.0
r3k2r/pBp3pp/8/3PPp2/N5n1/2b2N2/PP3PPP/R2QK2R b KQkq - 0 1,-1.0
r3k2r/pBp3pp/8/3PPp2/6n1/2N2N2/PP3PPP/R2QK2R w KQkq - 0 1,1.0
r6r/pBp1k1pp/8/3PPp2/6n1/2N2N2/PP3PPP/R2QK2R b KQkq - 0 1,-1.0
r6r/pBp1k1pp/3P4/4Pp2/6n1/2N2N2/PP3PPP/R2QK2R w KQkq - 0 1,1.0
r6r/pB2k1pp/3p4/4Pp2/6n1/2N2N2/PP3PPP/R2QK2R b KQkq - 0 1,-1.0
r6r/pB2k1pp/3Q4/4Pp2/6n1/2N2N2/PP3PPP/R3K2R w KQkq - 0 1,1.0
r6r/pB3kpp/3Q4/4Pp2/6n1/2N2N2/PP3PPP/R3K2R b KQkq - 0 1,-1.0
r6r/pB3kpp/3Q4/4PpN1/6n1/2N5/PP3PPP/R3K2R w KQkq - 0 1,1.0
1r5r/pB3kpp/3Q4/4PpN1/6n1/2N5/PP3PPP/R3K2R b KQkq - 0 1,-1.0
1r5r/pB3Npp/3Q4/4Pp2/6n1/2N5/PP3PPP/R3K2R w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/8/4p3/1b2P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/8/4p3/1b2P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/8/4p3/4P3/b1P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/8/4p3/4P3/N1P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 1,1.0
rnb1k1nr/pppp1ppp/8/4p3/4P2q/N1P2N2/PP1P1PPP/R1BQKB1R b KQkq - 0 1,-1.0
rnb1k1nr/pppp1ppp/8/4p3/4P2N/N1P5/PP1P1PPP/R1BQKB1R w KQkq - 0 1,1.0
rnb1k1nr/ppp2ppp/3p4/4p3/4P2N/N1P5/PP1P1PPP/R1BQKB1R b KQkq - 0 1,-1.0
rnb1k1nr/ppp2ppp/3p4/4p3/3PP2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
rnb1k2r/ppp2ppp/3p1n2/4p3/3PP2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
rnb1k2r/ppp2ppp/3p1n2/4P3/4P2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
rn2k2r/ppp2ppp/3pbn2/4P3/4P2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
rn2k2r/ppp2ppp/3pbP2/8/4P2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
r3k2r/ppp2ppp/2npbP2/8/4P2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
r3k2r/ppp2pPp/2npb3/8/4P2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
r6r/ppp1kpPp/2npb3/8/4P2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
r6Q/ppp1kp1p/2npb3/8/4P2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
6rQ/ppp1kp1p/2npb3/8/4P2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
6Q1/ppp1kp1p/2npb3/8/4P2N/N1P5/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
6Q1/ppp1kp1p/3pb3/8/1n2P2N/N1P5/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
6Q1/ppp1kp1p/3pb3/6B1/1n2P2N/N1P5/PP3PPP/R2QKB1R w KQkq - 0 1,1.0
6Q1/ppp1kp1p/3pb3/6B1/4P2N/N1Pn4/PP3PPP/R2QKB1R b KQkq - 0 1,-1.0
6Q1/ppp1Bp1p/3pb3/8/4P2N/N1Pn4/PP3PPP/R2QKB1R w KQkq - 0 1,1.0
rnbqkbnr/p1pp1ppp/8/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 1,-1.0
rnbqkbnr/p1pp1ppp/8/1B2p3/3PP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 1,1.0
r1bqkbnr/p1pp1ppp/2n5/1B2p3/3PP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 1,-1.0
r1bqkbnr/p1pp1ppp/2n5/1B2P3/4P3/8/PPP2PPP/RNBQK1NR w KQkq - 0 1,1.0
r1bqk1nr/p1pp1ppp/2n5/1B2P3/1b2P3/8/PPP2PPP/RNBQK1NR b KQkq - 0 1,-1.0
r1bqk1nr/p1pp1ppp/2n5/1B2P3/1b2P3/2P5/PP3PPP/RNBQK1NR w KQkq - 0 1,1.0
r1bqk1nr/p1pp1ppp/2n5/1B2P3/4P3/2b5/PP3PPP/RNBQK1NR b KQkq - 0 1,-1.0
r1bqk1nr/p1pp1ppp/2n5/1B2P3/4P3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 1,1.0
r1bqk2r/p1pp1ppp/2n2n2/1B2P3/4P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 1,-1.0
r1bqk2r/p1pp1ppp/2n2P2/1B6/4P3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 1,1.0
r1bqk2r/p1p2ppp/2n2P2/1B1p4/4P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 1,-1.0
r1bqk2r/p1p2ppp/2B2P2/3p4/4P3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 1,1.0
1rbqk2r/p1p2ppp/2B2P2/3p4/4P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 1,-1.0
1rbqB2r/p1p2ppp/5P2/3p4/4P3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 1,1.0
